baths,beds,contentLen,craigId,date,latitude,link,longitude,numPic,postDate,price,reposts,size,title,updateDate,zipcode
2.0,2,12,6850125571,Mar 25,47.4889,https://seattle.craigslist.org/see/apa/d/seattle-love-seattle-living-but-without/6850125571.html,-122.3012,13,"2019-03-25T11:16:36-0700,2019-03-25T11:16:36-0700",1849,0,1100,Love Seattle Living but without the traffic,"2019-03-25T11:16:36-0700,2019-03-25T11:16:36-0700",
2.5,3,2,6850125354,Mar 25,47.649179,https://seattle.craigslist.org/see/apa/d/redmond-ne-81st-st-redmond-wa-98053/6850125354.html,-122.041314,15,"2019-03-25T11:16:23-0700,2019-03-25T11:16:23-0700",3100,0,2480,"23017 NE 81st St Redmond, WA 98053","2019-03-25T11:16:23-0700,2019-03-25T11:16:23-0700",
1.5,2,6,6846634228,Mar 25,47.3929,https://seattle.craigslist.org/see/apa/d/seattle-des-moines-new-townhome-1230-sq/6846634228.html,-122.3129,11,"2019-03-21T05:20:46-0700,2019-03-21T05:20:46-0700,2019-03-25T10:50:16-0700",1650,0,1230,Des Moines New Townhome 1230 sq ft 2 bed 1.5 Ba,"2019-03-21T05:20:46-0700,2019-03-21T05:20:46-0700,2019-03-25T10:50:16-0700",
2.5,3,16,6850097347,Mar 25,47.718959,https://seattle.craigslist.org/see/apa/d/seattle-beautifully-updated-haller-lake/6850097347.html,-122.329259,22,"2019-03-25T10:50:14-0700,2019-03-25T10:50:14-0700,2019-03-25T11:03:31-0700",2850,0,1880,Beautifully Updated Haller Lake Family Home!!,"2019-03-25T10:50:14-0700,2019-03-25T10:50:14-0700,2019-03-25T11:03:31-0700",
1.0,1,37,6848540595,Mar 25,47.61894,https://seattle.craigslist.org/see/apa/d/seattle-spacious-1x1-den-laundry-room/6848540595.html,-122.345038,12,"2019-03-23T10:09:16-0700,2019-03-23T10:09:16-0700,2019-03-25T10:19:30-0700",2335,0,1042,SPACIOUS 1x1 w/Den! Laundry room included!,"2019-03-23T10:09:16-0700,2019-03-23T10:09:16-0700,2019-03-25T10:19:30-0700",
1.0,1,31,6850062773,Mar 25,47.60937,https://seattle.craigslist.org/see/apa/d/seattle-large-studio-spectacular-views/6850062773.html,-122.330099,15,"2019-03-25T10:19:20-0700,2019-03-25T10:19:20-0700",1695,0,565,Large Studio w/ Spectacular Views of the City!,"2019-03-25T10:19:20-0700,2019-03-25T10:19:20-0700",
1.0,2,30,6847297767,Mar 25,47.4441,https://seattle.craigslist.org/see/apa/d/brand-new-listing-awesome-2-bedroom/6847297767.html,-122.3249,15,"2019-03-21T18:27:10-0700,2019-03-21T18:27:10-0700,2019-03-25T09:57:18-0700",1199,0,850,"Brand new listing, Awesome 2 bedroom unit, Vaulted Ceilings & Balcony","2019-03-21T18:27:10-0700,2019-03-21T18:27:10-0700,2019-03-25T09:57:18-0700",
1.0,2,31,6847297752,Mar 25,47.4441,https://seattle.craigslist.org/see/apa/d/fully-appliance-kitchen-ample-room/6847297752.html,-122.3249,16,"2019-03-21T18:27:09-0700,2019-03-21T18:27:09-0700,2019-03-25T09:57:17-0700",1295,0,850,"Fully Appliance Kitchen, Ample room & closet spaces, Up to 1 Mo Free","2019-03-21T18:27:09-0700,2019-03-21T18:27:09-0700,2019-03-25T09:57:17-0700",
2.0,2,12,6848424765,Mar 25,47.4889,https://seattle.craigslist.org/see/apa/d/seattle-love-seattle-living-but-without/6848424765.html,-122.3012,13,"2019-03-23T08:20:29-0700,2019-03-23T08:20:29-0700,2019-03-25T09:26:34-0700",1649,0,1100,Love Seattle Living but without the traffic,"2019-03-23T08:20:29-0700,2019-03-23T08:20:29-0700,2019-03-25T09:26:34-0700",
2.0,2,6,6848422479,Mar 25,47.4889,https://seattle.craigslist.org/see/apa/d/seattle-today-only-manager-special/6848422479.html,-122.3012,11,"2019-03-23T08:18:11-0700,2019-03-23T08:18:11-0700,2019-03-25T09:25:48-0700",1800,0,1100,Today Only! Manager Special. ! MONTH FREE,"2019-03-23T08:18:11-0700,2019-03-23T08:18:11-0700,2019-03-25T09:25:48-0700",
1.0,0,20,6828949462,Mar 25,47.63602,https://seattle.craigslist.org/see/apa/d/seattle-first-full-month-rent-free-move/6828949462.html,-122.324437,9,"2019-02-26T14:22:48-0800,2019-02-26T14:22:48-0800,2019-03-25T08:51:18-0700",1455,0,334,First FULL  month rent FREE!! MOVE IN SPECIAL☏,"2019-02-26T14:22:48-0800,2019-02-26T14:22:48-0800,2019-03-25T08:51:18-0700",
1.0,0,20,6826736808,Mar 25,47.63602,https://seattle.craigslist.org/see/apa/d/seattle-online-work-order-green-built/6826736808.html,-122.324437,9,"2019-02-23T16:33:53-0800,2019-02-23T16:33:53-0800,2019-03-25T08:51:13-0700",1325,0,242,"Online work order, Green built, Wood style flooring","2019-02-23T16:33:53-0800,2019-02-23T16:33:53-0800,2019-03-25T08:51:13-0700",
1.0,1,13,6846983886,Mar 25,47.690904,https://seattle.craigslist.org/see/apa/d/seattle-great-greenwood-location/6846983886.html,-122.353759,5,"2019-03-21T11:45:21-0700,2019-03-21T11:45:21-0700,2019-03-25T08:24:06-0700",1400,0,700,GREAT GREENWOOD LOCATION,"2019-03-21T11:45:21-0700,2019-03-21T11:45:21-0700,2019-03-25T08:24:06-0700",
1.0,0,44,6847267619,Mar 25,47.617614,https://seattle.craigslist.org/see/apa/d/seattle-beautiful-modern-furnished/6847267619.html,-122.352215,18,"2019-03-21T17:32:31-0700,2019-03-21T17:32:31-0700,2019-03-25T08:24:41-0700",1895,0,571,Beautiful modern furnished Belltown condo,"2019-03-21T17:32:31-0700,2019-03-21T17:32:31-0700,2019-03-25T08:24:41-0700",
1.0,0,23,6844775763,Mar 25,47.616181,https://seattle.craigslist.org/see/apa/d/seattle-0-bed-1-bath-airy-9-ceilings-in/6844775763.html,-122.331418,16,"2019-03-18T17:52:21-0700,2019-03-18T17:52:21-0700,2019-03-25T03:34:28-0700",2554,0,530,"0 Bed /1 Bath, Airy 9’ ceilings in living areas, Music studio","2019-03-18T17:52:21-0700,2019-03-18T17:52:21-0700,2019-03-25T03:34:28-0700",
1.0,1,24,6835066417,Mar 25,47.612424,https://seattle.craigslist.org/see/apa/d/seattle-first-hill-1br-apt-washer-dryer/6835066417.html,-122.326,16,"2019-03-06T12:04:35-0800,2019-03-06T12:04:35-0800,2019-03-25T03:30:43-0700",1699,0,647,"First Hill 1BR apt, Washer/Dryer inside, Pets are welcome! Gym on-site","2019-03-06T12:04:35-0800,2019-03-06T12:04:35-0800,2019-03-25T03:30:43-0700",
1.5,1,14,6849648081,Mar 24,47.63982,https://seattle.craigslist.org/see/apa/d/seattle-1-bed-in-gorgeous-eastlake-lake/6849648081.html,-122.328337,5,"2019-03-24T19:13:57-0700,2019-03-24T19:13:57-0700",1198,0,1100,1 bed in gorgeous Eastlake Lake Union Penthouse Apartment,"2019-03-24T19:13:57-0700,2019-03-24T19:13:57-0700",
