,Unnamed: 0,FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
52816,1999397,2403149,City of Baldwin,Civil,GA,13,Habersham,137.0,342911N,0833258W,34.4864209,-83.5493381,,,,,452.0,1483.0,Baldwin,03/10/2008,07/13/2018
52817,1999398,2403150,City of Baldwyn,Civil,MS,28,Lee,81.0,343026N,0883830W,34.507108200000005,-88.6416225,,,,,113.0,371.0,Baldwyn,03/10/2008,07/14/2018
52818,1999399,2403151,City of Ball Ground,Civil,GA,13,Cherokee,57.0,342033N,0842149W,34.3426294,-84.3635611,,,,,342.0,1122.0,Ball Ground East,03/10/2008,07/14/2018
52819,1999400,2403152,City of Bancroft,Civil,KY,21,Jefferson,111.0,381659N,0853647W,38.2831735,-85.61295190000001,,,,,188.0,617.0,Anchorage,03/10/2008,07/14/2018
52820,1999401,2403153,City of Baneberry,Civil,TN,47,Jefferson,89.0,360249N,0831643W,36.0468447,-83.27852159999998,,,,,347.0,1138.0,White Pine,03/10/2008,07/14/2018
52821,1999402,2403154,City of Barbourmeade,Civil,KY,21,Jefferson,111.0,381755N,0853603W,38.2985862,-85.6009101,,,,,194.0,636.0,Anchorage,03/10/2008,07/14/2018
52822,1999403,2403155,City of Barbourville,Civil,KY,21,Knox,121.0,365200N,0835305W,36.8666338,-83.8847445,,,,,296.0,971.0,Barbourville,03/10/2008,07/13/2018
52823,1999404,2403156,City of Bardstown,Civil,KY,21,Nelson,179.0,374903N,0852718W,37.8174968,-85.4550873,,,,,202.0,663.0,Bardstown,03/10/2008,07/14/2018
52824,1999405,2403157,City of Bardwell,Civil,KY,21,Carlisle,39.0,365226N,0890033W,36.8740214,-89.0091073,,,,,121.0,397.0,Arlington,03/10/2008,07/14/2018
52825,1999406,2403158,City of Barling,Civil,AR,5,Sebastian,131.0,351942N,0941645W,35.328445,-94.2792026,,,,,125.0,410.0,Barling,03/10/2008,07/14/2018
52826,1999407,2403159,City of Barlow,Civil,KY,21,Ballard,7.0,370304N,0890240W,37.05116,-89.04442850000002,,,,,113.0,371.0,Barlow,03/10/2008,07/13/2018
52827,1999408,2403160,City of Barnesville,Civil,GA,13,Lamar,171.0,330304N,0840909W,33.0510532,-84.1526073,,,,,251.0,823.0,Barnesville,03/10/2008,07/13/2018
52828,1999409,2403161,City of Barnwell,Civil,SC,45,Barnwell,11.0,331431N,0812157W,33.2419381,-81.36591240000001,,,,,64.0,210.0,Barnwell,03/10/2008,07/14/2018
52829,1999410,2403162,City of Bartlett,Civil,TN,47,Shelby,157.0,351401N,0894910W,35.2336878,-89.8195232,,,,,98.0,322.0,Ellendale,03/10/2008,07/14/2018
52830,1999411,2403163,City of Bartow,Civil,FL,12,Polk,105.0,275310N,0814916W,27.8862368,-81.8211718,,,,,36.0,118.0,Bartow,03/10/2008,07/14/2018
52831,1999751,2403504,City of Dover,Civil,AR,5,Pope,115.0,352328N,0930651W,35.39098470000001,-93.11424,,,,,125.0,410.0,Dover,03/10/2008,07/14/2018
