,Unnamed: 0,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,state,abbr,region,result,url
2430,28779,5550825,"Menasha city, Wisconsin",17945,Wisconsin,WI,Menasha,"Menasha, WI",https://appleton.craigslist.org/?search_distance=2.7&postal=54952
3695,28737,5544950,"Little Chute village, Wisconsin",11006,Wisconsin,WI,Little Chute,"Little Chute, WI",https://appleton.craigslist.org/?search_distance=5&postal=54140
1676,28820,5555750,"Neenah city, Wisconsin",25821,Wisconsin,WI,Neenah,"Neenah, WI",https://appleton.craigslist.org/?search_distance=5.8&postal=54957
2712,28683,5538800,"Kaukauna city, Wisconsin",15883,Wisconsin,WI,Kaukauna,"Kaukauna, WI",https://appleton.craigslist.org/?search_distance=6.8&postal=54130
3618,29067,5584425,"Waupun city, Wisconsin",11277,Wisconsin,WI,Waupun,"Waupun, WI",https://appleton.craigslist.org/?search_distance=7.5&postal=53963
564,28867,5560500,"Oshkosh city, Wisconsin",66649,Wisconsin,WI,Oshkosh,"Oshkosh, WI",https://appleton.craigslist.org/?search_distance=8.6&postal=54902
493,28359,5502375,"Appleton city, Wisconsin",73832,Wisconsin,WI,Appleton,"Appleton, WI",https://appleton.craigslist.org/?search_distance=9.2&postal=54911
3083,18327,3730720,"Hendersonville city, North Carolina",13620,North Carolina,NC,Hendersonville,"Hendersonville, NC",https://asheville.craigslist.org/?search_distance=10.2&postal=28791
368,18048,3702140,"Asheville city, North Carolina",89318,North Carolina,NC,Asheville,"Asheville, NC",https://asheville.craigslist.org/?search_distance=11.5&postal=28814
3284,19408,3918350,"Conneaut city, Ohio",12708,Ohio,OH,Conneaut,"Conneaut, OH",https://ashtabula.craigslist.org/?search_distance=5.4&postal=44030
2381,19206,3902638,"Ashtabula city, Ohio",18385,Ohio,OH,Ashtabula,"Ashtabula, OH",https://ashtabula.craigslist.org/?search_distance=6.1&postal=44004
2217,20008,3959416,"Painesville city, Ohio",19843,Ohio,OH,Painesville,"Painesville, OH",https://ashtabula.craigslist.org/?search_distance=6.9&postal=44077
1127,5276,1331908,"Gainesville city, Georgia",37291,Georgia,GA,Gainesville,"Gainesville, GA",https://athensga.craigslist.org/?search_distance=12.9&postal=30506
2784,5661,1383420,"Winder city, Georgia",15403,Georgia,GA,Winder,"Winder, GA",https://athensga.craigslist.org/?search_distance=6.4&postal=30680
3897,5346,1341988,"Jefferson city, Georgia",10259,Georgia,GA,Jefferson,"Jefferson, GA",https://athensga.craigslist.org/?search_distance=6.6&postal=30549
3599,5383,1347196,"Loganville city, Georgia",11355,Georgia,GA,Loganville,"Loganville, GA",https://athensga.craigslist.org/?search_distance=6.9&postal=30052
3160,5427,1352192,"Monroe city, Georgia",13298,Georgia,GA,Monroe,"Monroe, GA",https://athensga.craigslist.org/?search_distance=7.8&postal=30656
228,5077,1303440,"Athens-Clarke County unified government (balance), Georgia",122292,Georgia,GA,Athens-Clarke,no result,https://athensga.craigslist.org/?search_distance=8.4&postal=30607
1797,19209,3902736,"Athens city, Ohio",24486,Ohio,OH,Athens,"Athens, OH",https://athensohio.craigslist.org/?search_distance=6.4&postal=45701
2615,5454,1355776,"Norcross city, Georgia",16474,Georgia,GA,Norcross,"Norcross, GA",https://atlanta.craigslist.org/?search_distance=10.1&postal=30071
1661,5146,1313492,"Carrollton city, Georgia",26054,Georgia,GA,Carrollton,"Carrollton, GA",https://atlanta.craigslist.org/?search_distance=10.4&postal=30116
3273,5198,1321324,"Dallas city, Georgia",12760,Georgia,GA,Dallas,"Dallas, GA",https://atlanta.craigslist.org/?search_distance=10.4&postal=30132
652,5405,1349756,"Marietta city, Georgia",60203,Georgia,GA,Marietta,"Marietta, GA",https://atlanta.craigslist.org/?search_distance=10.7&postal=30006
2722,5182,1319336,"Conyers city, Georgia",15803,Georgia,GA,Conyers,"Conyers, GA",https://atlanta.craigslist.org/?search_distance=11.2&postal=30012
596,5063,1301696,"Alpharetta city, Georgia",63929,Georgia,GA,Alpharetta,"Alpharetta, GA",https://atlanta.craigslist.org/?search_distance=11.3&postal=30009
1679,5142,1312988,"Canton city, Georgia",25806,Georgia,GA,Canton,"Canton, GA",https://atlanta.craigslist.org/?search_distance=12.1&postal=30115
38,5078,1304000,"Atlanta city, Georgia",465230,Georgia,GA,Atlanta,"Atlanta, GA",https://atlanta.craigslist.org/?search_distance=18.6&postal=30308
3913,5553,1369392,"Scottdale CDP, Georgia",10217,Georgia,GA,Scottdale,"Scottdale, GA",https://atlanta.craigslist.org/?search_distance=2.1&postal=30079
3285,5163,1316544,"Clarkston city, Georgia",12702,Georgia,GA,Clarkston,"Clarkston, GA",https://atlanta.craigslist.org/?search_distance=2.5&postal=30021
3312,5375,1346356,"Lilburn city, Georgia",12559,Georgia,GA,Lilburn,"Lilburn, GA",https://atlanta.craigslist.org/?search_distance=3&postal=30047
1373,5510,1363952,"Redan CDP, Georgia",31111,Georgia,GA,Redan,"Redan, GA",https://atlanta.craigslist.org/?search_distance=3.1&postal=30074
1049,5395,1348288,"Mableton CDP, Georgia",39745,Georgia,GA,Mableton,"Mableton, GA",https://atlanta.craigslist.org/?search_distance=3.1&postal=30126
2279,5267,1330536,"Forest Park city, Georgia",19271,Georgia,GA,Forest Park,"Forest Park, GA",https://atlanta.craigslist.org/?search_distance=3.2&postal=30297
1207,5617,1377652,"Tucker city, Georgia",35418,Georgia,GA,Tucker,"Tucker, GA",https://atlanta.craigslist.org/?search_distance=3.7&postal=30084
1217,5480,1359724,"Peachtree City city, Georgia",34988,Georgia,GA,Peachtree,"Peachtree City, GA",https://atlanta.craigslist.org/?search_distance=4.9&postal=30270
2890,5501,1362524,"Powder Springs city, Georgia",14765,Georgia,GA,Powder Springs,"Powder Springs, GA",https://atlanta.craigslist.org/?search_distance=5.3&postal=30127
2352,5589,1374936,"Suwanee city, Georgia",18655,Georgia,GA,Suwanee,"Suwanee, GA",https://atlanta.craigslist.org/?search_distance=5.5&postal=30024
2451,5380,1346832,"Lithia Springs CDP, Georgia",17772,Georgia,GA,Lithia Springs,"Lithia Springs, GA",https://atlanta.craigslist.org/?search_distance=5.5&postal=30122
2697,5526,1365464,"Riverdale city, Georgia",15931,Georgia,GA,Riverdale,"Riverdale, GA",https://atlanta.craigslist.org/?search_distance=5.5&postal=30296
2100,5625,1378324,"Union City city, Georgia",20793,Georgia,GA,Union,"Union City, GA",https://atlanta.craigslist.org/?search_distance=6&postal=30291
1539,5578,1373704,"Stockbridge city, Georgia",28117,Georgia,GA,Stockbridge,"Stockbridge, GA",https://atlanta.craigslist.org/?search_distance=6.8&postal=30281
1286,5354,1343192,"Kennesaw city, Georgia",33433,Georgia,GA,Kennesaw,"Kennesaw, GA",https://atlanta.craigslist.org/?search_distance=7&postal=30144
2974,5256,1328380,"Fairburn city, Georgia",14257,Georgia,GA,Fairburn,"Fairburn, GA",https://atlanta.craigslist.org/?search_distance=7&postal=30213
1937,5297,1335324,"Griffin city, Georgia",22710,Georgia,GA,Griffin,"Griffin, GA",https://atlanta.craigslist.org/?search_distance=7.4&postal=30223
2250,5568,1371604,"Snellville city, Georgia",19521,Georgia,GA,Snellville,"Snellville, GA",https://atlanta.craigslist.org/?search_distance=7.5&postal=30078
341,5536,1367284,"Roswell city, Georgia",94239,Georgia,GA,Roswell,"Roswell, GA",https://atlanta.craigslist.org/?search_distance=7.7&postal=30077
1485,5228,1324600,"Duluth city, Georgia",28988,Georgia,GA,Duluth,"Duluth, GA",https://atlanta.craigslist.org/?search_distance=7.7&postal=30095
2865,5635,1379528,"Villa Rica city, Georgia",14900,Georgia,GA,Villa Rica,"Villa Rica, GA",https://atlanta.craigslist.org/?search_distance=8&postal=30180
1469,5369,1345488,"Lawrenceville city, Georgia",29287,Georgia,GA,Lawrenceville,"Lawrenceville, GA",https://atlanta.craigslist.org/?search_distance=8.5&postal=30042
1977,5051,1300408,"Acworth city, Georgia",22163,Georgia,GA,Acworth,"Acworth, GA",https://atlanta.craigslist.org/?search_distance=8.6&postal=30101
2902,5129,1311784,"Buford city, Georgia",14662,Georgia,GA,Buford,"Buford, GA",https://atlanta.craigslist.org/?search_distance=8.7&postal=30519
726,5567,1371492,"Smyrna city, Georgia",55467,Georgia,GA,Smyrna,"Smyrna, GA",https://atlanta.craigslist.org/?search_distance=8.9&postal=30080
2539,5261,1328968,"Fayetteville city, Georgia",17069,Georgia,GA,Fayetteville,"Fayetteville, GA",https://atlanta.craigslist.org/?search_distance=8.9&postal=30215
3063,5187,1320064,"Covington city, Georgia",13728,Georgia,GA,Covington,"Covington, GA",https://atlanta.craigslist.org/?search_distance=9&postal=30016
1997,5209,1322052,"Decatur city, Georgia",22022,Georgia,GA,Decatur,"Decatur, GA",https://atlanta.craigslist.org/?search_distance=9&postal=30032
