,p_GEO.id2,p_GEO.display-label,p_HC01_VC03
2583,637692,"Jurupa Valley city, California",102202
7991,1871000,"South Bend city, Indiana",101928
4302,1216475,"Davie town, Florida",101543
16588,3539380,"Las Cruces city, New Mexico",101014
3636,832155,"Greeley city, Colorado",100760
27774,5357745,"Renton city, Washington",99692
28688,5539225,"Kenosha city, Wisconsin",99623
27173,5168000,"Roanoke city, Virginia",99572
3364,682996,"Vista city, California",99496
25911,4864472,"San Angelo city, Texas",99135
21982,4224000,"Erie city, Pennsylvania",98970
1979,602553,"Arden-Arcade CDP, California",98616
16844,3601000,"Albany city, New York",98498
25388,4841980,"League City city, Texas",98215
2223,615044,"Compton city, California",97847
11910,2629000,"Flint city, Michigan",97810
536,177256,"Tuscaloosa city, Alabama",97373
3338,681554,"Vacaville city, California",96918
24543,4801924,"Allen city, Texas",96865
15725,3268400,"Sparks city, Nevada",96786
2812,648256,"Mission Viejo city, California",96535
21157,4105350,"Beaverton city, Oregon",95710
27148,5164000,"Portsmouth city, Virginia",95536
3221,673080,"South Gate city, California",95420
11851,2621000,"Dearborn city, Michigan",95295
14191,2941348,"Lee's Summit city, Missouri",95270
20764,4041850,"Lawton city, Oklahoma",95168
11467,2509000,"Brockton city, Massachusetts",95161
11570,2545000,"New Bedford city, Massachusetts",95125
27496,5323515,"Federal Way city, Washington",94905
12063,2649000,"Livonia city, Michigan",94708
26521,4967440,"Sandy city, Utah",94556
27833,5367167,"Spokane Valley city, Washington",94424
26482,4957300,"Orem city, Utah",94420
5536,1367284,"Roswell city, Georgia",94239
4199,1207300,"Boca Raton city, Florida",93964
9445,2038900,"Lawrence city, Kansas",93954
1389,485540,"Yuma city, Arizona",93851
11608,2555745,"Quincy city, Massachusetts",93824
3136,668196,"San Marcos city, California",93493
16716,3563460,"Rio Rancho city, New Mexico",93317
2517,633434,"Hesperia city, California",93190
27931,5380010,"Yakima city, Washington",93182
11542,2537490,"Lynn city, Massachusetts",93069
2148,611530,"Carson city, California",92927
3155,670000,"Santa Monica city, California",92495
4913,1269700,"Sunrise city, Florida",92272
4636,1245025,"Miami Beach city, Florida",92187
4784,1257425,"Plantation city, Florida",92126
5954,1652120,"Meridian city, Idaho",91917
3398,684550,"Westminster city, California",91785
3714,845970,"Longmont city, Colorado",91730
11137,2432025,"Germantown CDP, Maryland",91447
3148,669070,"Santa Barbara city, California",91443
3046,659920,"Redding city, California",91236
1263,464210,"San Tan Valley CDP, Arizona",90665
2179,613014,"Chico city, California",90660
18303,3728080,"Greenville city, North Carolina",90347
3132,668084,"San Leandro city, California",89910
20599,4023200,"Edmond city, Oklahoma",89769
5969,1656260,"Nampa city, Idaho",89576
18048,3702140,"Asheville city, North Carolina",89318
11500,2523000,"Fall River city, Massachusetts",89258
16332,3473110,"Toms River CDP, New Jersey",88707
7506,1810342,"Carmel city, Indiana",88595
3991,955990,"Norwalk city, Connecticut",88537
11573,2545560,"Newton city, Massachusetts",88479
22782,4263624,"Reading city, Pennsylvania",88275
2700,641992,"Livermore city, California",88232
4825,1260950,"Riverview CDP, Florida",88191
27238,5176432,"Suffolk city, Virginia",88057
4133,1200410,"Alafaya CDP, Florida",88025
4313,1217200,"Deltona city, Florida",88005
7350,1779293,"Waukegan city, Illinois",87999
15813,3350260,"Nashua city, New Hampshire",87642
3310,680238,"Tracy city, California",87613
18173,3714100,"Concord city, North Carolina",87607
7609,1823278,"Fishers city, Indiana",87557
1557,524550,"Fort Smith city, Arkansas",87537
2507,632548,"Hawthorne city, California",87425
21159,4105800,"Bend city, Oregon",87167
26054,4870808,"Sugar Land city, Texas",86886
2556,636448,"Indio city, California",86867
3414,685292,"Whittier city, California",86852
2788,646842,"Menifee city, California",86820
2874,651182,"Newport Beach city, California",86793
27577,5335940,"Kirkland city, Washington",86772
2189,613588,"Citrus Heights city, California",86618
15945,3413690,"Clifton city, New Jersey",86207
