,Unnamed: 0,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,county_fips
442,11371,2472450,"Silver Spring CDP, Maryland",79483,[19049]
443,4307,1216725,"Deerfield Beach city, Florida",79468,[49039]
444,12477,2707966,"Brooklyn Park city, Minnesota",79462,[12081]
445,3000,657792,"Pleasanton city, California",79341,[36029]
446,21330,4147000,"Medford city, Oregon",79246,[2170]
447,27042,5147672,"Lynchburg city, Virginia",79237,[55031]
448,27570,5335275,"Kennewick city, Washington",78858,[72059]
449,6166,1706613,"Bloomington city, Illinois",78426,[26155]
450,1940,600562,"Alameda city, California",78246,[35043]
451,2184,613214,"Chino Hills city, California",78025,[36029]
452,2025,604982,"Bellflower city, California",77852,[34037]
453,7662,1831000,"Hammond city, Indiana",77827,[24043]
454,28918,5566000,"Racine city, Wisconsin",77740,[53053]
455,27334,5303180,"Auburn city, Washington",77440,[72041]
456,7634,1827000,"Gary city, Indiana",77416,[24033]
457,1850,566080,"Springdale city, Arkansas",77252,[29103]
458,24833,4816432,"Conroe city, Texas",77086,[45045]
459,14487,2964550,"St. Joseph city, Missouri",76819,[13271]
460,25731,4857200,"Pharr city, Texas",76727,[48097]
461,22884,4269000,"Scranton city, Pennsylvania",76624,[37053]
462,2004,603666,"Baldwin Park city, California",76572,[35006]
463,13035,2751730,"Plymouth city, Minnesota",76258,[12081]
464,24620,4806128,"Baytown city, Texas",76205,[47047]
465,3336,681344,"Upland city, California",76155,[36063]
466,6092,1702154,"Arlington Heights village, Illinois",75911,[28013]
467,2404,624638,"Folsom city, California",75897,[35061]
468,12016,2642160,"Kalamazoo city, Michigan",75833,[10001]
469,6445,1724582,"Evanston city, Illinois",75557,[28019]
470,15926,3410000,"Camden city, New Jersey",75550,[48321]
471,2805,647766,"Milpitas city, California",75498,[36035]
472,2762,645484,"Manteca city, California",75314,[35017]
473,21628,4206088,"Bethlehem city, Pennsylvania",75240,[36081]
474,10557,2241155,"Lake Charles city, Louisiana",75194,[42071]
475,12373,2688940,"Wyoming city, Michigan",75124,[12017]
476,4518,1236100,"Kendall CDP, Florida",75123,[49011]
477,24585,4804462,"Atascocita CDP, Texas",75114,[45005]
