,Unnamed: 0,baths,bedrooms,contentLen,pid,date2,latitude,link,longitude,numPic,date,rent,reposts,sqft,title,updateDate,zipcode,state2,region2
158,158,,,7,6827987525,Feb 28,27.9845,https://tampa.craigslist.org/hdo/apa/d/tampa-charming-3-bedrooms-one-bathroom/6827987525.html,-82.463,3,"2019-02-25T14:57:46-0500,2019-02-25T14:57:46-0500,2019-02-28T12:59:49-0500",800.0,0,,"CHARMING 3 BEDROOMS, ONE BATHROOM AND GARAGE","2019-02-25T14:57:46-0500,2019-02-25T14:57:46-0500,2019-02-28T12:59:49-0500",,Florida,Tampa
160,160,1.0,1.0,4,6829149891,Mar 26,38.9518,https://washingtondc.craigslist.org/doc/apa/d/washington-nice-furnished-comfortable/6829149891.html,-77.0203,5,"2019-02-26T22:56:51-0500,2019-02-26T22:56:51-0500,2019-03-26T07:14:09-0400",650.0,0,,NICE FURNISHED COMFORTABLE APARTMENT IN WASHINGTON,"2019-02-26T22:56:51-0500,2019-02-26T22:56:51-0500,2019-03-26T07:14:09-0400",,D.C.,Washington
161,161,2.0,3.0,3,6848654606,Mar 25,32.71866,https://sandiego.craigslist.org/csd/apa/d/san-diego-nice-condo-amazing-location/6848654606.html,-117.087602,15,"2019-03-23T12:00:14-0700,2019-03-23T12:00:14-0700,2019-03-25T13:55:16-0700",1795.0,0,1000.0,Nice Condo Amazing Location,"2019-03-23T12:00:14-0700,2019-03-23T12:00:14-0700,2019-03-25T13:55:16-0700",,California,San Diego
163,163,1.0,1.0,40,6844618753,Mar 25,37.764131,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-552-irving-street-inner/6844618753.html,-122.464172,14,"2019-03-18T14:24:51-0700,2019-03-18T14:24:51-0700,2019-03-25T10:42:56-0700",2750.0,0,,552 Irving Street - Inner Sunset One Bedroom,"2019-03-18T14:24:51-0700,2019-03-18T14:24:51-0700,2019-03-25T10:42:56-0700",,California,SF
165,165,1.0,1.0,6,6832743854,Mar 26,33.832,https://atlanta.craigslist.org/atl/apa/d/get-approved-for-your-place-today/6832743854.html,-84.3851,0,"2019-03-03T17:34:56-0500,2019-03-03T17:34:56-0500,2019-03-26T11:45:07-0400",1000.0,0,,GET APPROVED FOR YOUR PLACE TODAY,"2019-03-03T17:34:56-0500,2019-03-03T17:34:56-0500,2019-03-26T11:45:07-0400",,Georgia,Atlanta
166,166,1.0,1.0,4,6837623101,Mar 26,38.9518,https://washingtondc.craigslist.org/doc/apa/d/washington-nice-furnished-comfortable/6837623101.html,-77.0203,4,"2019-03-09T17:28:26-0500,2019-03-09T17:28:26-0500,2019-03-26T07:13:58-0400",650.0,0,,NICE FURNISHED COMFORTABLE APARTMENT IN WASHINGTON DC�,"2019-03-09T17:28:26-0500,2019-03-09T17:28:26-0500,2019-03-26T07:13:58-0400",,D.C.,Washington
168,168,,,13,6832744430,Mar 26,33.7525,https://atlanta.craigslist.org/atl/apa/d/stop-your-eviction-today/6832744430.html,-84.3888,0,"2019-03-03T17:35:46-0500,2019-03-03T17:35:46-0500,2019-03-26T11:45:02-0400",299.0,0,,STOP YOUR EVICTION TODAY,"2019-03-03T17:35:46-0500,2019-03-03T17:35:46-0500,2019-03-26T11:45:02-0400",,Georgia,Atlanta
170,170,1.0,0.0,39,6844617660,Mar 25,37.790617,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1600-california-26/6844617660.html,-122.420976,8,"2019-03-18T14:23:41-0700,2019-03-18T14:23:41-0700,2019-03-25T10:42:41-0700",1995.0,0,,1600 California #26 - Spacious Polk Gulch Studio Apartment,"2019-03-18T14:23:41-0700,2019-03-18T14:23:41-0700,2019-03-25T10:42:41-0700",,California,SF
171,171,2.0,2.0,6,6844391050,Mar 25,34.075401,https://losangeles.craigslist.org/wst/apa/d/los-angeles-2-bed-2-bath-for-rent/6844391050.html,-118.356686,7,"2019-03-18T10:37:45-0700,2019-03-18T10:37:45-0700,2019-03-25T13:08:33-0700",3200.0,0,,2 bed 2 bath For rent,"2019-03-18T10:37:45-0700,2019-03-18T10:37:45-0700,2019-03-25T13:08:33-0700",,California,LA
172,172,1.0,1.0,53,6850182166,Mar 25,32.827351,https://sandiego.craigslist.org/csd/apa/d/san-diego-tour-and-lease-this-week-and/6850182166.html,-117.143066,11,"2019-03-25T12:11:08-0700,2019-03-25T12:11:08-0700",2149.0,0,786.0,Tour and Lease this week and move into your new apartment!!,"2019-03-25T12:11:08-0700,2019-03-25T12:11:08-0700",,California,San Diego
